industry_l1_id,industry_l2_id,id,name
722,2,2,Ngôn ngữ Nga
786,2,2,Chỉ huy tham mưu Hải quân
721,4,2,Thiết kế công nghiệp
721,3,2,Công nghệ điện ảnh truyền hình
751,6,2,Quản lý năng lượng
751,4,2,Công nghệ vật liệu
746,2,1,Thống kê
752,3,1,Kỹ thuật hóa học
738,1,1,Luật
751,4,1,Công nghệ kỹ thuật hóa học
772,7,1,Y tế công cộng
772,8,1,Tổ chức và Quản lý y tế
748,1,1,Khoa học máy tính
772,90,1,Y sinh học thể dục thể thao
776,1,1,Công tác xã hội
752,1,1,Cơ kỹ thuật
790,1,1,Quản trị Doanh nghiệp và Công nghệ
781,1,1,Du lịch
758,2,1,Kỹ thuật xây dựng
781,2,1,Quản trị khách sạn
721,3,1,Nhiếp ảnh
781,3,1,Quản lý thể dục thể thao
772,5,1,Răng - Hàm - Mặt
772,6,1,Kỹ thuật xét nghiệm y học
781,5,1,Kinh tế gia đình
781,90,1,Khoa học chế biến món ăn
731,6,1,Quốc tế học
731,5,1,Địa lý học
784,1,1,Khai thác vận tải
748,2,1,Công nghệ thông tin
742,1,1,Sinh học
742,2,1,Công nghệ sinh học
731,4,1,Tâm lý học
785,1,1,Quản lý tài nguyên và môi trường
752,2,1,Kỹ thuật điện
758,1,1,Kiến trúc
714,2,1,Giáo dục Mầm non
754,90,1,Công nghệ chế biến lâm sản
731,3,1,Xã hội học
785,2,1,Bảo hộ lao động
751,6,1,Quản lý công nghiệp
751,3,1,Công nghệ kỹ thuật điện điện tử
751,1,1,Công nghệ kỹ thuật kiến trúc
786,1,1,Trinh sát an ninh
721,2,1,Âm nhạc học
754,1,1,Công nghệ thực phẩm
744,1,1,Thiên văn học
731,2,1,Chính trị học
721,1,1,Lý luận lịch sử và phê bình mỹ thuật
751,7,1,Công nghệ dầu khí và khai thác dầu
731,1,1,Kinh tế
722,90,1,Triết học
752,6,1,Kỹ thuật mỏ
752,5,1,Kỹ thuật địa chất
751,8,1,Công nghệ kỹ thuật in
722,2,1,Ngôn ngữ Anh
752,4,1,Vật lý kỹ thuật
786,2,1,Chỉ huy tham mưu Lục quân
734,1,1,Quản trị kinh doanh
732,90,1,Công nghệ đa phương tiện
751,2,1,Công nghệ kỹ thuật cơ khí
732,4,1,Xuất bản
762,2,1,Lâm học
744,2,1,Địa chất học
734,2,1,Tài chính - Ngân hàng
714,1,1,Giáo dục học
762,3,1,Nuôi trồng thủy sản
